_EventID_,_Latitude_,_Longitude_,_DepthMeters_,_Contributor_,_MagType_,_Magnitude_,_EventLocationName_,_Time_,ts,potential_blast,bix_potential_blasts
usp000gyu4,39.644,-75.483,5000,NEIC,md,2.8,New Jersey,2009-07-01T13:44:43.380Z,2009/07/01 09:44:43-04,0,0
usp000gyxs,37.379,-80.746,11500,NEIC,mblg,2.8,West Virginia,2009-07-04T12:24:43.460Z,2009/07/04 08:24:43-04,0,0
usp000gz1d,45.296,-73.475,18000,NEIC,md,2.1,"southern Quebec, Canada",2009-07-08T10:22:11.430Z,2009/07/08 06:22:11-04,0,0
usp000h1sz,42.825,-78.239,5000,NEIC,md,2.4,New York,2009-09-23T03:45:59.900Z,2009/09/22 23:45:59-04,0,0
usp000hab0,38.619,-80.909,100,NEIC,mblg,3.4,West Virginia,2010-04-04T09:19:14.000Z,2010/04/04 05:19:14-04,0,0
usp000hgny,38.675,-80.82,2300,NEIC,md,2.4,West Virginia,2010-07-24T09:15:44.000Z,2010/07/24 05:15:44-04,0,0
usp000hj7k,38.818,-80.43,17000,NEIC,md,2.5,West Virginia,2010-08-15T04:38:47.000Z,2010/08/15 00:38:47-04,0,0
usp000hjhz,38.792,-80.398,10700,NEIC,md,2.5,West Virginia,2010-08-21T03:16:22.000Z,2010/08/20 23:16:22-04,0,0
usp000hng7,39.433,-81.362,5000,NEIC,mblg,2.8,Ohio,2010-10-24T08:12:44.510Z,2010/10/24 04:12:44-04,0,0
usp000hqs4,41.514,-80.333,5000,NEIC,mblg,2.7,Pennsylvania,2010-12-10T21:26:32.790Z,2010/12/10 16:26:32-05,0,0
usp000hrxd,40.859,-74.179,2000,NEIC,md,2.1,"Greater New York area, New Jersey",2010-12-25T18:32:31.000Z,2010/12/25 13:32:31-05,0,0
usp000hxng,41.11,-80.68,5000,NEIC,mblg,2.6,"Youngstown-Akron urban area, Ohio",2011-03-17T10:53:09.510Z,2011/03/17 06:53:09-04,0,0
usp000hz5p,44.964,-74.588,17000,NEIC,md,2.4,New York,2011-04-02T23:10:13.000Z,2011/04/02 19:10:13-04,0,0
usp000j15a,44.673,-73.841,10000,NEIC,ml,2.6,New York,2011-05-07T06:45:10.800Z,2011/05/07 02:45:10-04,0,0
usp000j1a5,40.011,-74.796,5000,NEIC,ml,1.9,"Greater Philadelphia area, New Jersey",2011-05-10T08:19:59.270Z,2011/05/10 04:19:59-04,0,0
usp000j7b5,39.51,-81.47,5000,NEIC,mblg,3.1,Ohio,2011-08-31T17:36:02.670Z,2011/08/31 13:36:02-04,0,0
usp000j7kq,39.422,-81.205,5000,NEIC,mblg,2.6,Ohio,2011-09-04T13:21:59.290Z,2011/09/04 09:21:59-04,0,0
usp000j8js,41.115,-80.682,5000,NEIC,mblg,2.5,"Youngstown-Akron urban area, Ohio",2011-09-26T01:06:10.840Z,2011/09/25 21:06:10-04,0,0
usp000jryp,41.035,-73.543,4300,NEIC,ml,2.1,New York,2012-09-08T00:58:27.170Z,2012/09/07 20:58:27-04,0,0
